2409:8720:2005:0010:0000:0000:0000:0000	无锡市人民政府办公室(无锡市政府研究室)
2409:8720:1900:0238:0000:0000:0000:0000	新吴区记香来餐饮店
2409:8720:1700:0517:0000:0000:0000:0000	梁溪区雪娇小吃店
2409:8720:1700:060C:0000:0000:0000:0000	梁溪区小港湾海鲜店
2409:8720:2005:0010:0000:0000:0009:0000	无锡市人民政府办公室（无锡市政府研究室）
2409:8C20:1E36:0001:0000:0000:0000:0000 上海观安信息技术股份有限公司
2409:8C20:1E36:0001:0000:0000:0000:0001 上海观安信息技术股份有限公司
2409:8720:18FF:FFFF:0000:0000:0000:0000 易视腾科技股份有限公司
2409:8720:18FF:FFFF:0000:0000:0000:0001 易视腾科技股份有限公司
2409:8720:18FF:FFFF:0000:0000:0000:0002 朗新科技集团股份有限公司
2409:8720:18FF:FFFF:0000:0000:0000:0003 朗新科技集团股份有限公司
2409:8720:18FF:FFFF:0000:0000:0000:0008 江苏晓镭信息科技有限公司（宜兴）
2409:8720:18FF:FFFF:0000:0000:0000:0009 江苏晓镭信息科技有限公司（宜兴）
2409:8720:20FF:FFFF:0000:0000:0000:0000 无锡市经济和信息化委员会
2409:8720:20FF:FFFF:0000:0000:0000:0001 无锡市经济和信息化委员会
2409:8720:1600:0001:* 银泰证券有限责任公司
2409:8720:1600:0002:* 北京今日头条科技有限公司
2409:8720:1700:0100:* 梁溪区袁先生餐饮店
2409:8720:1700:0101:* 梁溪区开凯小吃店
2409:8720:1700:0102:* 梁溪区初透抹茶奶茶饮品店
2409:8720:1700:0103:* 梁溪区锡飞奶茶店
2409:8720:1700:0104:* 梁溪区新诺贝食品店
2409:8720:1700:0105:* 北塘区悦乐食品店
2409:8720:1700:0106:* 无锡市凯灵电子有限公司
2409:8720:1700:0107:* 梁溪区聚香人家餐饮店
2409:8720:1700:0108:* 梁溪区文勇小吃店
2409:8720:1700:0109:* 梁溪区沫沫茶饮品店
2409:8720:1700:010A:* 无锡谦谦文化传媒有限公司
2409:8720:1700:010B:* 无锡宇信通科技有限公司
2409:8720:1700:010C:* 梁溪黄姐餐饮店
2409:8720:1700:010D:* 江苏新路德建设有限公司
2409:8720:1700:010E:* 梁溪区传道餐饮店
2409:8720:1700:010F:* 梁溪区桂桂茶奶茶店
2409:8720:1700:0110:* 锡山区东北塘老井家烩面馆
2409:8720:1700:0111:* 惠山区钱桥倍爽凉皮店
2409:8720:1700:0112:* 江苏邗建集团有限公司（五爱小学雪枫分校新建项目部）
2409:8720:1700:0113:* 梁溪区二驴子东北菜馆
2409:8720:1700:0114:* 梁溪区滃渟醉餐饮店
2409:8720:1700:0115:* 梁溪区季文雨餐饮店
2409:8720:1700:0116:* 无锡市城南建设投资发展有限公司
2409:8720:1700:0117:* 梁溪区晓食惠餐饮店
2409:8720:1700:0118:* 梁溪区锡竹餐饮店
2409:8720:1700:0119:* 梁溪区蒸鲜味清蒸菜店
2409:8720:1700:011A:* 江苏精享裕建工有限公司
2409:8720:1700:011B:* 江苏精享裕建工有限公司
2409:8720:1700:011C:* 无锡市城南建设投资发展有限公司
2409:8720:1700:011D:* 无锡市城南建设投资发展有限公司
2409:8720:1700:011E:* 无锡市城南建设投资发展有限公司
2409:8720:1700:011F:* 无锡市梁溪区瞻江幸福颐养院
2409:8720:1700:0120:* 卓建建设工程有限公司
2409:8720:1700:0121:* 无锡和洋健康咨询有限公司
2409:8720:1700:0122:* 梁溪区韩大厨餐饮店
2409:8720:1700:0123:* 梁溪区裕益餐饮店
2409:8720:1700:0124:* 梁溪区阿俊菜饭骨头汤店
2409:8720:1700:0125:* 梁溪区拾海季餐饮店
2409:8720:1700:0126:* 梁溪区老高家苏北菜馆
2409:8720:1700:0127:* 梁溪阳小卡逗餐饮店
2409:8720:1700:0128:* 梁溪区李记餐饮店
2409:8720:1700:0129:* 江苏爸爸糖餐饮管理有限公司
2409:8720:1700:012A:* 江苏正方园建设集团有限公司（惠山古镇烧香浜项目部）
2409:8720:1700:012B:* 梁溪区余味餐饮店
2409:8720:1700:012C:* 梁溪区加锋肉制品经营部
2409:8720:1700:012D:* 梁溪区俊领小吃店
2409:8720:1700:012E:* 无锡毛毛虫餐饮有限公司
2409:8720:1700:012F:* 梁溪区一诺小吃店
2409:8720:1700:0130:* 京东智能城市（无锡）科技有限公司（梁溪智脑-智慧小屋及人群分析系统建设项目）
2409:8720:1700:0131:* 无锡市梁溪区瞻江幸福颐养院
2409:8720:1700:0132:* 梁溪深蓝餐饮店
2409:8720:1700:0133:* 无锡市城南建设投资发展有限公司
2409:8720:1700:0134:* 京东智能城市（无锡）科技有限公司（梁溪智脑-智慧小屋及人群分析系统建设项目）
2409:8720:1700:0135:* 京东智能城市（无锡）科技有限公司（梁溪智脑-智慧小屋及人群分析系统建设项目）
2409:8720:1700:0136:* 无锡市城南建设投资发展有限公司
2409:8720:1700:0137:* 无锡市城南建设投资发展有限公司
2409:8720:1700:0138:* 梁溪官城切餐饮店
2409:8720:1700:0139:* 梁溪区牧马人烧烤店
2409:8720:1700:013A:* 惠山区钱桥百毅龙麻辣烫店
2409:8720:1700:013B:* 无锡百年同庆餐饮有限公司
2409:8720:1700:013C:* 无锡百年同庆餐饮有限公司
2409:8720:1700:013D:* 无锡百年同庆餐饮有限公司
2409:8720:1700:013E:* 无锡百年同庆餐饮有限公司
2409:8720:1700:013F:* 梁溪区甜之吖小吃店
2409:8720:1700:0140:* 梁溪书蕾烧烤店
2409:8720:1700:0141:* 梁溪区金裕楼餐饮店
2409:8720:1700:0142:* 梁溪区醉月江湖餐饮店
2409:8720:1700:0143:* 梁溪香谢楼农家菜店
2409:8720:1700:0144:* 梁溪区至臻卤味熟食店
2409:8720:1700:0145:* 梁溪区面不坨小吃店
2409:8720:1700:0146:* 中国石油天然气股份有限公司江苏无锡销售分公司
2409:8720:1700:0147:* 京东智能城市（无锡）科技有限公司（梁溪智脑-智慧小屋及人群分析系统建设项目）
2409:8720:1700:0148:* 梁溪灵泉茶文化中心
2409:8720:1700:0149:* 无锡市广益建控物业管理有限公司
2409:8720:1700:014A:* 梁溪区心怡心餐饮店
2409:8720:1700:014B:* 梁溪区味享餐饮店
2409:8720:1700:014C:* 无锡楷霖新材料科技有限公司
2409:8720:1700:014D:* 惠山区钱桥曼酌酒馆
2409:8720:1700:014E:* 无锡市泰和物业管理有限公司
2409:8720:1700:014F:* 梁溪区鑫鑫小吃店
2409:8720:1700:0150:* 梁溪区王爱营小餐饮店
2409:8720:1700:0151:* 无锡宝路不锈钢有限公司
2409:8720:1700:0152:* 梁溪区锦超餐饮店
2409:8720:1700:0153:* 无锡市盛元电力燃料有限公司
2409:8720:1700:0154:* 惠山区钱桥辣有你餐饮店
2409:8720:1700:0155:* 惠山区钱桥李梦辰餐饮店
2409:8720:1700:0156:* 无锡国泰彩印有限公司
2409:8720:1700:0157:* 锡山区东北塘胡来面馆
2409:8720:1700:0158:* 梁溪区人民东路雪杨饮食店
2409:8720:1700:0159:* 惠山区钱桥君恒小吃店
2409:8720:1700:015A:* 无锡市梁溪区惠山街道办事处
2409:8720:1700:015B:* 梁溪区小阿羽汉堡店
2409:8720:1700:015C:* 无锡市梁溪区吉成源餐饮店
2409:8720:1700:015D:* 梁溪区苏洛记港式烧腊店
2409:8720:1700:015E:* 惠山区钱桥张双成餐饮店
2409:8720:1700:015F:* 惠山区钱桥苑强壹米粉店
2409:8720:1700:0160:* 梁溪区杨俊美餐饮店
2409:8720:1700:0161:* 惠山区钱桥畅小仙餐饮店
2409:8720:1700:0164:* 无锡市神力齿轮冷挤有限公司
2409:8720:1700:0165:* 江苏一九智能科技有限公司
2409:8720:1700:0166:* 百年同龢（苏州）餐饮文化有限公司惠山古镇分公司
2409:8720:1700:0167:* 百年同龢（苏州）餐饮文化有限公司惠山古镇分公司
2409:8720:1700:0168:* 北塘区崧泽宾馆
2409:8720:1700:0169:* 惠山区李方一餐饮店（个体工商户）
2409:8720:1700:016A:* 无锡市宏源弹性器材有限公司
2409:8720:1700:016B:* 梁溪区瑞师甜品烘焙工作室
2409:8720:1700:016C:* 梁溪区那茉餐厅
2409:8720:1700:016D:* 中信银行股份有限公司无锡分行
2409:8720:1700:016E:* 中信银行股份有限公司无锡分行
2409:8720:1700:016F:* 梁溪区辣首食府店
2409:8720:1700:0170:* 惠山区钱桥久顺烧烤店
2409:8720:1700:0171:* 梁溪区施梦媛药膳光头鸡店（个体工商户）
2409:8720:1700:0172:* 梁溪区橙黄橘绿水果店（个体工商户）
2409:8720:1700:0173:* 梁溪区德鲁餐饮店
2409:8720:1700:0174:* 梁溪区潮牛记火锅店（个体工商户）
2409:8720:1700:0175:* 梁溪区小城故事餐饮店（个体工商户）
2409:8720:1700:0176:* 锡山区东北塘黄记羊肉烩面店（个体工商户）
2409:8720:1700:0177:* 惠山区钱桥晨桐餐饮店
2409:8720:1700:0178:* 梁溪区留碗老鸭粉丝汤店（个体工商户）
2409:8720:1700:0179:* 无锡净慧孝馨护理院有限公司
2409:8720:1700:017A:* 梁溪区郑友坤馄饨店（个体工商户）
2409:8720:1700:017B:* 梁溪区二狗子餐饮店（个体工商户）
2409:8720:1700:017C:* 梁溪区豆三章小餐饮店（个体工商户）
2409:8720:1700:017D:* 梁溪区艾尼疆味餐饮店
2409:8720:1700:017E:* 梁溪区沈三的包包包子店
2409:8720:1700:017F:* 梁溪区缘聚乐食汇小吃店（个体工商户）
2409:8720:1700:0180:* 梁溪区锦之洲涮烤餐饮店（个体工商户）
2409:8720:1700:0181:* 江苏移动信息系统集成有限公司亭湖分公司
2409:8720:1700:0182:* 无锡海旭餐饮管理有限公司
2409:8720:1700:0183:* 无锡市梁溪区民政局
2409:8720:1700:0184:* 南通建工集团股份有限公司
2409:8720:1700:0185:* 无锡市舒心康养老服务有限公司
2409:8720:1700:0186:* 北塘区刘安永面店
2409:8720:1700:0187:* 梁溪区好吃的包烘培食品店（个体工商户）
2409:8720:1700:0188:* 梁溪区锅皇港式火锅店（个体工商户）
2409:8720:1700:0189:* 无锡晴茶餐饮文化有限公司
2409:8720:1700:018A:* 无锡惠粤楼餐饮管理有限公司
2409:8720:1700:018B:* 梁溪区裕鉴烘焙店（个体工商户）
2409:8720:1700:018C:* 无锡市国联金属材料市场有限公司
2409:8720:1700:01A0:* 梁溪区小李渔酸菜鱼店
2409:8720:1700:01A1:* 梁溪区一口一香餐饮店
2409:8720:1700:01A2:* 梁溪云梦餐饮店
2409:8720:1700:01A3:* 梁溪区听松煮雪冰淇淋饮品店
2409:8720:1700:01A4:* 无锡一半烟伙餐饮管理有限公司
2409:8720:1700:01A5:* 深圳亿垒企业管理有限公司无锡分公司
2409:8720:1700:01A6:* 梁溪区才君小吃店
2409:8720:1700:01A7:* 梁溪新怡乐餐饮店
2409:8720:1700:01A8:* 梁溪李陈小吃店
2409:8720:1700:01A9:* 无锡市冠云换热器有限公司
2409:8720:1700:01AA:* 无锡市梁溪区瞻江街道办事处
2409:8720:1700:0200:* 锡山区东亭臧锡强北京烤鸭店
2409:8720:1700:0201:* 无锡市徽香韵餐饮管理有限公司
2409:8720:1700:0202:* 惠山区西漳泡渔饭店
2409:8720:1700:0204:* 锡山区东北塘杨宗坪酸菜鱼店
2409:8720:1700:0205:* 梁溪区蛙嘻嘻川菜馆
2409:8720:1700:0206:* 无锡楷霖新材料科技有限公司
2409:8720:1700:0207:* 新吴区尚基森炸鸡店
2409:8720:1700:0208:* 梁溪区喜客意快餐店
2409:8720:1700:0209:* 无锡盛阳食品城有限公司
2409:8720:1700:020A:* 锡山区东北塘吴焓沙县小吃店
2409:8720:1700:020B:* 无锡金灶头大酒店有限责任公司
2409:8720:1700:020C:* 京东智能城市（无锡）科技有限公司（梁溪智脑-智慧小屋及人群分析系统建设项目）
2409:8720:1700:020D:* 京东智能城市（无锡）科技有限公司（梁溪智脑-智慧小屋及人群分析系统建设项目）
2409:8720:1700:020E:* 京东智能城市（无锡）科技有限公司（梁溪智脑-智慧小屋及人群分析系统建设项目）
2409:8720:1700:020F:* 梁溪区铜小二火锅店
2409:8720:1700:0210:* 新吴区选哥炸串店
2409:8720:1700:0211:* 无锡市广益建控物业管理有限公司
2409:8720:1700:0212:* 无锡市广益建控物业管理有限公司
2409:8720:1700:0213:* 无锡森木旺胜家居有限公司
2409:8720:1700:0215:* 梁溪区仁人小吃店
2409:8720:1700:0216:* 江阴市万润印染有限公司
2409:8720:1700:0217:* 新吴区符凡凡新疆大盘鸡店
2409:8720:1700:0218:* 无锡嘉实纺织品有限公司
2409:8720:1700:0219:* 月星集团无锡国际家居广场有限公司
2409:8720:1700:021A:* 梁溪区健品行手工蛋糕店
2409:8720:1700:021B:* 无锡真旺食品有限公司
2409:8720:1700:021C:* 江苏佳润投资发展有限公司
2409:8720:1700:021D:* 无锡市梁溪区溪橙色幼儿园
2409:8720:1700:021E:* 锡山区东亭臧锡强北京烤鸭店
2409:8720:1700:021F:* 无锡英皇华厦托育有限公司
2409:8720:1700:0220:* 无锡城投建设有限公司
2409:8720:1700:0221:* 南通市海川市政工程有限公司
2409:8720:1700:0222:* 锡山区东亭双倍蛋吐司店
2409:8720:1700:0223:* 无锡市广益建控物业管理有限公司
2409:8720:1700:0224:* 无锡市广益建控物业管理有限公司
2409:8720:1700:0225:* 梁溪区十三式餐饮店
2409:8720:1700:0226:* 梁溪区十三式餐饮店
2409:8720:1700:0227:* 锡山区东亭卡尔宝宝餐饮店
2409:8720:1700:0228:* 无锡市玉祁热镀锌厂
2409:8720:1700:0229:* 梁溪区周大厨餐饮店
2409:8720:1700:022A:* 梁溪区周大厨餐饮店
2409:8720:1700:022B:* 梁溪区周大厨餐饮店
2409:8720:1700:022C:* 梁溪区周大厨餐饮店
2409:8720:1700:022D:* 梁溪区周大厨餐饮店
2409:8720:1700:022E:* 锡山区东亭想饭思菜餐饮店
2409:8720:1700:022F:* 梁溪区亿零一玖披萨店
2409:8720:1700:0230:* 锡山区吴盛金沙县小吃店
2409:8720:1700:0231:* 无锡千寻千味贸易有限公司
2409:8720:1700:0232:* 梁溪区昌徽牛肉板面店（个体工商户）
2409:8720:1700:0233:* 梁溪区健品行手工蛋糕店
2409:8720:1700:0234:* 无锡红豆物业有限公司红园分公司
2409:8720:1700:0235:* 无锡市第五人民医院
2409:8720:1700:0236:* 无锡市第五人民医院
2409:8720:1700:0237:* 无锡市第五人民医院
2409:8720:1700:0238:* 无锡市第五人民医院
2409:8720:1700:0239:* 无锡市第五人民医院
2409:8720:1700:023A:* 无锡市第五人民医院
2409:8720:1700:023B:* 无锡市第五人民医院
2409:8720:1700:023C:* 无锡市第五人民医院
2409:8720:1700:023D:* 无锡市第五人民医院
2409:8720:1700:023E:* 无锡市第五人民医院
2409:8720:1700:023F:* 无锡市第五人民医院
2409:8720:1700:0240:* 无锡市第五人民医院
2409:8720:1700:0241:* 无锡德林防务装备股份有限公司
2409:8720:1700:0242:* 梁溪区喜悦韬茶饮店（个体工商户）
2409:8720:1700:0243:* 梁溪区喜悦韬茶饮店（个体工商户）
2409:8720:1700:0244:* 江苏巴奴毛肚火锅有限公司无锡广益分公司
2409:8720:1700:0245:* 中汇宏飞智能科技无锡有限公司
2409:8720:1700:0246:* 无锡真丰味食品有限公司
2409:8720:1700:0247:* 无锡真丰味食品有限公司
2409:8720:1700:0248:* 惠山区西漳刘兴记面馆（个体工商户）
2409:8720:1700:0249:* 梁溪区苏塔餐饮店
2409:8720:1700:0300:* 梁溪区余牛牛奶茶店
2409:8720:1700:0301:* 新吴区卯食餐饮店
2409:8720:1700:0302:* 锡山区东亭惜客优选便利店
2409:8720:1700:0303:* 锡山区东亭哆唻鲜食驿站便利店
2409:8720:1700:0304:* 梁溪区丽莎餐饮店
2409:8720:1700:0305:* 新吴区特爽小吃店
2409:8720:1700:0306:* 新吴区锡福来小吃店
2409:8720:1700:0307:* 梁溪区当夏甜品饮料店
2409:8720:1700:0308:* 梁溪区喜在山舍餐饮店
2409:8720:1700:0309:* 梁溪高浪餐饮店
2409:8720:1700:030A:* 梁溪区云合鲜餐饮店
2409:8720:1700:030B:* 梁溪锡味馆小吃店
2409:8720:1700:030C:* 锦汇建设集团有限公司
2409:8720:1700:030D:* 新吴区甜麦餐饮店
2409:8720:1700:030E:* 梁溪区鱿滋味餐饮店
2409:8720:1700:030F:* 新吴区文永淮南牛肉汤店
2409:8720:1700:0310:* 梁溪区茗椽阁茶饮服务店
2409:8720:1700:0311:* 无锡市花小蟹品牌管理有限公司
2409:8720:1700:0312:* 梁溪区妍主人小吃店
2409:8720:1700:0313:* 梁溪区豪正祥小吃店
2409:8720:1700:0314:* 上海愿初品牌管理有限公司无锡分公司
2409:8720:1700:0315:* 梁溪区宫家喜艾冰淇淋店
2409:8720:1700:0316:* 梁溪乐味餐饮店
2409:8720:1700:0317:* 新吴区欧帝咖啡设备商行
2409:8720:1700:0318:* 新吴区克友餐饮店
2409:8720:1700:0319:* 梁溪区五七空间餐饮店
2409:8720:1700:031A:* 新吴区探知味餐饮店
2409:8720:1700:031B:* 新吴区七矿小吃店
2409:8720:1700:031C:* 新吴区巴渝食府川菜馆
2409:8720:1700:031D:* 新吴区雪梨咖啡生活馆
2409:8720:1700:031E:* 新吴区玖品鸭餐饮店
2409:8720:1700:0320:* 新吴区自在茶香茶饮店
2409:8720:1700:0321:* 无锡市琳琅书画培训有限公司
2409:8720:1700:0322:* 新吴区陈亮家常菜馆
2409:8720:1700:0323:* 无锡童之乐托育有限公司
2409:8720:1700:0324:* 中节能水务工程有限公司
2409:8720:1700:0325:* 新吴区捞一份小吃店
2409:8720:1700:0326:* 锦汇建设集团有限公司
2409:8720:1700:0327:* 新吴区六厨木桶饭店
2409:8720:1700:0328:* 无锡市舒康养老院有限公司
2409:8720:1700:0329:* 江苏无锡二建建设集团有限公司（一汽解放无锡研发基地建设项目）
2409:8720:1700:032A:* 湘财证券股份有限公司无锡人民东路证券营业部
2409:8720:1700:032B:* 新吴区齐福回转火锅店（个体工商户）
2409:8720:1700:032C:* 新吴区丁仕伟餐饮店（个体工商户）
2409:8720:1700:032D:* 新吴区夕山夜餐饮店（个体工商户）
2409:8720:1700:032E:* 新吴区超盛地锅鸡店(个体工商户)
2409:8720:1700:032F:* 无锡市民政局
2409:8720:1700:0330:* 新吴区悟空赞饭店（个体工商户）
2409:8720:1700:0331:* 梁溪区海伦司运河汇餐饮店（个体工商户）
2409:8720:1700:0332:* 新吴区金樽酒店（个体工商户）
2409:8720:1700:0400:* 梁溪区蟹小满餐饮店
2409:8720:1700:0401:* 江苏宝森佳选供应链有限公司
2409:8720:1700:0402:* 无锡福弄堂餐饮有限公司
2409:8720:1700:0403:* 梁溪区金笼鲜早餐店
2409:8720:1700:0404:* 梁溪区玉荣汤圆店
2409:8720:1700:0405:* 江苏溪江悦酒店管理有限公司
2409:8720:1700:0406:* 江苏溪江悦酒店管理有限公司
2409:8720:1700:0407:* 梁溪区雪乡情餐馆
2409:8720:1700:0408:* 梁溪区九只鸭老鸭粉丝汤店
2409:8720:1700:040A:* 无锡云飞云智能科技有限公司
2409:8720:1700:040B:* 梁溪区喜金缘小吃店
2409:8720:1700:040C:* 梁溪区锡扬小厨小吃店
2409:8720:1700:040D:* 上海三菱电梯有限公司无锡分公司
2409:8720:1700:040E:* 新吴区李引鸡蛋饼店
2409:8720:1700:040F:* 梁溪区好在来小吃店
2409:8720:1700:0411:* 梁溪区席时森火爆鱿鱼店
2409:8720:1700:0412:* 无锡市竹伴居餐饮有限公司
2409:8720:1700:0413:* 梁溪区亚星馄飩店小吃店
2409:8720:1700:0414:* 梁溪区珍之味餐饮店
2409:8720:1700:0415:* 梁溪区小嗨哥凉皮店
2409:8720:1700:0416:* 梁溪区马建军小吃店
2409:8720:1700:0417:* 梁溪区李红兵汤圆店
2409:8720:1700:0418:* 梁溪区喻发发冒烤鸭店
2409:8720:1700:0419:* 新吴区卤娘子卤菜店
2409:8720:1700:041A:* 新吴区兰妹小吃店
2409:8720:1700:041B:* 新吴区徐老四小吃店
2409:8720:1700:041C:* 梁溪区好来吃小吃店
2409:8720:1700:041D:* 梁溪宋记小吃店
2409:8720:1700:041E:* 无锡飞扬白月光医疗美容诊所有限公司
2409:8720:1700:041F:* 梁溪区奕辉凉皮小吃店
2409:8720:1700:0420:* 梁溪区清禾烘焙蛋糕店
2409:8720:1700:0421:* 无锡金龙凤大酒店有限公司
2409:8720:1700:0422:* 新吴区阿俊隆江潮汕卤猪脚饭店
2409:8720:1700:0423:* 梁溪区磊佳小吃店
2409:8720:1700:0424:* 中国石油天然气股份有限公司江苏无锡销售分公司
2409:8720:1700:0425:* 梁溪区麦德快餐饮店
2409:8720:1700:0426:* 梁溪一起旺餐饮店
2409:8720:1700:0427:* 新吴区十八里铺早餐店
2409:8720:1700:0428:* 汉堡王（上海）餐饮有限公司无锡清扬路第二分公司
2409:8720:1700:0429:* 新吴区小雪烤肉店
2409:8720:1700:042A:* 梁溪区罗兴记餐饮店
2409:8720:1700:042B:* 江苏同方房地产资产评估规划勘测有限公司
2409:8720:1700:042C:* 新吴区七道丰味徐州家常菜店
2409:8720:1700:042D:* 无锡大众易房房地产经纪有限公司
2409:8720:1700:042E:* 新吴区煮一锅餐饮店
2409:8720:1700:042F:* 无锡市新吴区南站中心幼儿园第一实验园
2409:8720:1700:0430:* 梁溪区张大满餐饮店
2409:8720:1700:0431:* 梁溪区皖香鸡面馆
2409:8720:1700:0432:* 梁溪区寺缘小吃店
2409:8720:1700:0433:* 新吴区江雅馒头店
2409:8720:1700:0434:* 无锡市城投广场营运有限公司太湖广场分公司
2409:8720:1700:0435:* 梁溪区顽咖餐饮店
2409:8720:1700:0436:* 梁溪区虾密探手打虾滑小吃店
2409:8720:1700:0437:* 梁溪区花千姐小吃店
2409:8720:1700:0438:* 梁溪区周老厨小餐饮店
2409:8720:1700:0439:* 梁溪区胥金美餐饮店
2409:8720:1700:043A:* 南京君有餐饮管理有限公司
2409:8720:1700:043B:* 梁溪区椒熟时餐饮店
2409:8720:1700:043C:* 无锡崇宁医院有限公司
2409:8720:1700:043D:* 新吴区刘钧亦餐饮店
2409:8720:1700:043E:* 南长区巷子口饮食店
2409:8720:1700:043F:* 梁溪区燃几度餐饮连锁店
2409:8720:1700:0440:* 心安顿（江苏）健康发展有限公司
2409:8720:1700:0441:* 梁溪区蒋姐炸串店
2409:8720:1700:0445:* 梁溪区陈氏淮牛肉汤店
2409:8720:1700:0446:* 梁溪区王氏淮南牛肉汤店
2409:8720:1700:0447:* 梁溪区戚尔基餐饮服务店
2409:8720:1700:0448:* 无锡盛福缘建筑安装工程有限公司
2409:8720:1700:0449:* 梁溪区晶恩烤肉店
2409:8720:1700:044A:* 新吴区明羽馄饨店(个体工商户)
2409:8720:1700:044C:* 梁溪区牛五件餐饮店
2409:8720:1700:044D:* 梁溪区泓泓发鲜靓火锅店
2409:8720:1700:044E:* 新吴区林向杰千里香馄饨店
2409:8720:1700:044F:* 梁溪区戴明星餐饮店
2409:8720:1700:0450:* 上海善成实业有限公司
2409:8720:1700:0451:* 无锡博晟恒辉企业发展顾问有限公司
2409:8720:1700:0452:* 无锡市晟宇动漫制作有限公司
2409:8720:1700:0453:* 新吴区埌下餐饮店
2409:8720:1700:0454:* 无锡大众易房房地产经纪有限公司
2409:8720:1700:0455:* 新吴区海楠小吃店
2409:8720:1700:0456:* 无锡育才中学
2409:8720:1700:0457:* 梁溪区马路边边火锅店（个体工商户）
2409:8720:1700:0458:* 江苏移动信息系统集成有限公司
2409:8720:1700:0459:* 伽力森未来食品（无锡）股份有限公司
2409:8720:1700:045A:* 新吴区红松小吃店(个体工商户）
2409:8720:1700:045B:* 新吴区美诺鲜蛋糕店
2409:8720:1700:045C:* 新吴区韩家源饮食店
2409:8720:1700:045D:* 江苏天力建设集团有限公司（梁溪）
2409:8720:1700:045E:* 无锡金领房地产开发有限公司
2409:8720:1700:0500:* 梁溪区臻选小卤餐饮中心
2409:8720:1700:0501:* 梁溪区高氏二店淮南牛肉汤店
2409:8720:1700:0502:* 梁溪区徽巷子馄饨店
2409:8720:1700:0503:* 无锡力马化工机械有限公司
2409:8720:1700:0504:* 无锡万斯家居科技股份有限公司
2409:8720:1700:0505:* 国家税务总局无锡市税务局
2409:8720:1700:0507:* 卓建建设工程有限公司
2409:8720:1700:0508:* 江苏省无锡技师学院
2409:8720:1700:0509:* 梁溪区小东奶茶店
2409:8720:1700:050A:* 无锡锡上商业运营管理有限公司
2409:8720:1700:050B:* 梁溪米粒膳煲店
2409:8720:1700:050C:* 梁溪区渔先生海鲜馆
2409:8720:1700:050D:* 梁溪藤小妹餐饮店
2409:8720:1700:050E:* 梁溪区艺腾面馆
2409:8720:1700:050F:* 新吴区扣扣小吃店
2409:8720:1700:0510:* 东北证券股份有限公司无锡清扬路证券营业部
2409:8720:1700:0511:* 新吴区郑言尚早点店
2409:8720:1700:0512:* 无锡市金泰市政水利工程有限公司
2409:8720:1700:0513:* 无锡阿莉雅泰餐饮管理有限公司
2409:8720:1700:0514:* 梁溪区魔都三兄弟餐饮店
2409:8720:1700:0515:* 上海祖越通信技术有限公司（惠山）
2409:8720:1700:0518:* 无锡京利美餐饮管理有限公司
2409:8720:1700:0519:* 梁溪区富贵有余餐馆
2409:8720:1700:051A:* 梁溪新罐桶屋炭火烤肉店
2409:8720:1700:051B:* 梁溪区岭晓官餐饮店
2409:8720:1700:051C:* 梁溪区佳思敏炸酱面店
2409:8720:1700:051D:* 梁溪区山谷屋餐饮店
2409:8720:1700:051E:* 无锡市城南建设投资发展有限公司
